;Variação Anual: Total de Mortes;Variação Anual: Novas mortes por dia
0;28477400.0;264700.0
1;9583200.0;136100.0
2;4838466.666666666;93733.33333333334
3;2661281.818181818;48660.0
4;1960180.0;32150.0
5;1181600.0;13730.000000000002
6;878358.8235294117;36022.222222222226
7;653563.0434782609;16641.666666666664
8;514242.3728813559;21261.53846153846
9;398746.75324675324;20177.777777777777
10;337454.347826087;22820.0
11;281166.6666666666;8615.789473684212
12;230683.82352941175;6540.000000000001
13;199677.35849056602;16334.782608695654
14;159857.7114427861;9111.904761904761
15;135435.0;9564.102564102563
16;101198.14814814815;3378.5714285714284
17;91875.7660167131;5577.142857142857
18;74379.32584269663;1341.860465116279
19;68367.48971193416;3117.0731707317073
20;59642.375886524824;5278.205128205129
21;49575.80174927114;3038.5245901639346
22;42027.594627594626;3094.736842105263
23;36607.15789473685;2719.083969465649
24;33138.78902554399;2344.859813084112
25;31317.882562277577;2591.0447761194027
26;28895.66639411284;1394.949494949495
27;26889.834337349395;3526.6666666666665
28;23521.671018276764;1595.5882352941178
29;20950.921658986175;1645.0980392156862
30;19065.74844074844;1657.978723404255
31;17260.018682858477;1249.7695852534562
32;15759.600679694136;677.9342723004695
33;15118.602761982129;1147.2222222222222
34;14511.635098569772;2556.8
35;13817.365924844948;2154.5454545454545
36;13096.902959394356;1128.4848484848485
37;11500.600420294206;585.6470588235294
38;10415.442764578833;724.6648793565682
39;9532.659600690165;269.6883852691218
40;9044.563695753617;397.3799126637554
41;8481.837931783619;873.5015772870662
42;7733.6612236867995;558.9583333333334
43;7177.090513332124;597.9069767441861
44;6622.960372960372;426.369168356998
45;6238.693075483468;554.1871921182266
46;5929.270817926342;244.41260744985672
47;5695.234718479648;238.9655172413793
48;5486.914619247998;838.6075949367088
49;5120.445956160242;392.2942206654991
50;4755.018630647415;292.30769230769226
51;4460.544069640914;259.6345514950166
52;4106.009783368274;166.26360338573156
53;3863.4009009009005;60.25039123630673
54;3704.9896610626633;90.36402569593147
55;3551.76349437913;336.03773584905656
56;3334.9891661985394;208.66336633663366
57;3150.8836858006043;205.90500641848527
58;2990.4207443388814;191.30434782608697
59;2805.460499933164;116.71858774662512
60;2682.2181075213894;48.0
61;2608.3819332423377;72.36842105263158
62;2505.174152969798;241.9047619047619
63;2356.1585942278816;133.71681415929203
64;2254.8120260883397;174.3150684931507
65;2126.3131640644483;86.44781144781145
66;2029.4564804256936;89.71028971028971
67;1940.0127197565077;-10.880829015544046
68;1884.7260213535692;20.980091883614094
69;1825.7487325863756;169.26889714993806
70;1753.9042101827677;130.7988450433109
71;1684.022189233534;106.72191528545119
72;1615.7995066158333;105.1038062283737
73;1553.8381519477725;79.0035587188612
74;1502.0357910799748;-8.577405857740583
75;1478.7371221941735;79.16666666666667
76;1453.9265791495475;286.5168539325843
77;1399.105740568608;98.65293185419968
78;1342.140838146737;24.68495181616013
79;1283.9746039211075;-1.2898845892735933
80;1249.0863929652257;68.0597014925373
81;1217.5730587252992;-3.4292035398230114
82;1201.3688108627073;92.38095238095238
83;1183.9769483492216;250.22091310751105
84;1148.5418944956518;114.07232704402514
85;1114.765625;96.54631083202511
86;1083.3989100417898;78.85391444713478
87;1062.5514009754231;124.09240924092408
88;1040.9199438202247;26.56950672645739
89;1026.7146681436352;35.13071895424837
90;1016.2583316271981;293.62041467304624
91;991.2512986008267;133.77535101404055
92;966.4459256073962;82.11189913317574
93;944.0206919661556;101.53473344103392
94;923.0011847857172;90.7960199004975
95;904.131983352009;0.29354207436398383
96;893.4296614022256;23.739837398373975
97;884.410290417585;213.38235294117646
98;863.2614683255771;74.09024745269286
99;845.8313208248189;71.47679324894516
100;829.839369849557;75.37248028045573
101;816.2363074283876;60.909090909090914
102;799.7266514806379;-33.36339044183949
103;792.18007011211;11.956521739130444
104;784.8389752032101;173.5549132947977
105;769.3257710507769;62.57812499999999
106;757.7896160443331;95.47206165703275
107;743.4361062633315;48.32268370607029
108;728.8014056415614;26.74418604651163
109;716.0227184314946;-23.923006416131987
110;709.521019933094;15.4485049833887
111;704.574953807626;187.0967741935484
112;691.9270013934463;31.419457735247214
113;680.0879877582249;34.014717906786586
114;668.5129509713229;23.68852459016393
115;656.9717889712776;-0.7413509060955503
116;646.460703241965;-44.44444444444444
